steps,return
0,897.7426666666671
3,945.9598166666666
6,858.5180166666665
9,1032.1353
12,1026.70975
15,1016.8302666666668
18,1019.5070833333335
21,1071.0006999999994
24,1136.9878666666666
27,1148.89615
30,1162.9839000000002
33,1169.8953333333332
36,1181.3434833333338
39,1181.8429333333333
42,1203.2762
45,1197.325333333333
48,1193.4856499999999
51,1175.4668499999998
54,1188.0159166666665
57,1194.8142166666669
60,1217.3059666666672
63,1192.2803999999999
66,1191.6123
69,1187.4733
72,1199.3745666666666
75,1206.1008166666668
78,1201.6831
81,1220.6397333333334
84,1204.0029166666666
87,1199.5797333333333
90,1207.4640500000003
93,1198.8351166666666
96,1195.0872666666667
99,1201.2177833333335
102,1215.9273666666668
105,1203.9197333333332
108,1222.2307999999998
111,1208.2442166666672
114,1221.3697499999996
117,1228.479016666667
120,1203.5947833333332
123,1216.3038666666664
126,1208.8680000000006
